Country,population,phase3plus_abs,phase3plus_per,date
Malawi,19718415.0,2549703.0,0.14,2020-12-01
Malawi,19130000.0,1696881.0,0.1,2020-08-01
Malawi,18771580.0,,,2019-11-01
Malawi,18771580.0,673167.0,0.05,2019-06-01
Malawi,18771580.0,2203362.0,0.15,2018-08-01
Malawi,18771580.0,421000.0,0.03,2017-07-01
Mozambique,30832244.0,1857640.0,0.13,2021-11-01
Mozambique,30832244.0,188964.0,0.36,2021-04-01
Mozambique,30066648.0,2674922.0,0.15,2020-10-01
Mozambique,30066648.0,364389.0,0.15,2020-06-01
Mozambique,30066648.0,283175.0,0.26,2020-05-01
Mozambique,27909798.0,1358046.0,0.27,2019-06-01
Mozambique,30528673.0,1780512.0,0.07,2018-10-01
Mozambique,30528673.0,891052.0,0.17,2018-05-01
Mozambique,26423623.0,51909.0,0.0,2017-07-01
Mozambique,26423623.0,858473.0,0.31,2017-05-01
Namibia,2596037.0,367058.0,0.14,2022-09-01
Namibia,2550226.0,658588.0,0.26,2021-10-01
Namibia,2541000.0,427905.0,0.18,2020-07-01
Namibia,2495000.0,429274.0,0.18,2019-10-01
Pakistan,215250000.0,5960858.0,0.3,2022-09-01
Pakistan,215250000.0,4658928.0,0.25,2021-10-01
Pakistan,220900000.0,3821318.0,0.26,2021-03-01
Pakistan,220892000.0,1175287.0,0.23,2020-01-01
Pakistan,216565000.0,3067706.0,0.51,2019-04-01
Pakistan,197525005.0,2726822.0,0.5,2017-05-01
Somalia,16955258.0,5594290.0,0.33,2022-11-01
Somalia,16384726.0,4272750.0,0.26,2022-08-01
Somalia,15737178.0,5241620.0,0.33,2022-05-01
Somalia,15737178.0,,,2022-03-01
Somalia,15737178.0,2436700.0,0.16,2022-01-01
Somalia,15737176.0,2210620.0,0.14,2021-08-01
Somalia,12327530.0,1600800.0,0.13,2021-01-01
Somalia,12327530.0,1281000.0,0.1,2020-09-01
Somalia,12327530.0,1147000.0,0.1,2020-01-01
Somalia,12327530.0,1197000.0,0.1,2019-08-01
Somalia,12327530.0,1137000.0,0.09,2019-01-01
Somalia,12327530.0,1769000.0,0.14,2018-07-01
Somalia,12327530.0,1646000.0,0.13,2018-01-01
Somalia,12327530.0,3310000.0,0.27,2017-07-01
Somalia,12327530.0,1644000.0,0.14,2017-01-01
South Africa,59622350.0,9335159.0,0.16,2020-10-01
South Sudan,12400000.0,6635000.0,0.54,2022-10-01
South Sudan,12400000.0,6831000.0,0.55,2022-03-01
South Sudan,12060000.0,6301000.0,0.53,2020-10-01
South Sudan,11703111.0,5290000.0,0.44,2020-01-01
South Sudan,11703111.0,6350000.0,0.55,2019-08-01
South Sudan,11385139.0,,,2019-05-01
South Sudan,11385139.0,6170000.0,0.54,2019-01-01
South Sudan,10971513.0,6062000.0,0.58,2018-09-01
South Sudan,11145932.0,5350000.0,0.48,2018-01-01
South Sudan,10969993.0,6040000.0,0.56,2017-09-01
South Sudan,12311845.0,5530000.0,0.45,2017-05-01
South Sudan,11845855.0,3825000.0,0.33,2017-01-01
Sudan,47881435.0,9648034.0,0.2,2022-05-01
Sudan,46796616.0,7298273.0,0.16,2021-03-01
Sudan,45319635.0,,,2020-10-01
Sudan,45319635.0,9578685.0,0.21,2020-06-01
Sudan,42813000.0,5852810.0,0.13,2019-06-01
Tanzania,61741120.0,1110784.0,0.1,2022-10-01
Tanzania,57637628.0,437243.0,0.13,2021-12-01
Tanzania,58005000.0,985278.0,0.2,2019-11-01
Tanzania,55504000.0,119069.0,0.14,2017-07-01
Timor-Leste,1340434.0,299521.0,0.22,2022-11-01
Uganda,44212800.0,1796780.0,0.24,2022-10-01
Uganda,44212800.0,517850.0,0.41,2022-04-01
Uganda,42885900.0,360910.0,0.3,2021-04-01
Uganda,45741000.0,2602848.0,0.23,2020-06-01
Uganda,42729000.0,277265.0,0.11,2018-10-01
Uganda,40145000.0,440821.0,0.01,2017-11-01
Uganda,40145000.0,1600667.0,0.05,2017-01-01
Yemen,31900000.0,,,2022-08-01
Yemen,31900000.0,17365500.0,0.55,2022-02-01
Yemen,30041712.0,13479500.0,0.45,2020-11-01
Yemen,29826000.0,2008080.0,0.25,2020-06-01
Yemen,30041712.0,1246500.0,0.52,2019-06-01
Yemen,29884585.0,15900000.0,0.53,2018-12-01
Yemen,28235000.0,,,2017-03-01
Zambia,18926743.0,1351647.0,0.1,2022-06-01
Zambia,18400556.0,1175104.0,0.1,2021-06-01
Zambia,18000000.0,,,2021-02-01
Zambia,17885422.0,1423026.0,0.22,2020-07-01
Zambia,17861000.0,1657255.0,0.18,2019-05-01
Zambia,17609178.0,913166.0,0.13,2018-06-01
Zimbabwe,15557469.0,2605477.0,0.27,2020-10-01
Zimbabwe,14645000.0,4341420.0,0.45,2020-02-01
Zimbabwe,14645000.0,2294605.0,0.25,2019-06-01
Zimbabwe,14645000.0,2879000.0,0.3,2019-02-01
