Date of analysis,Country,Total country population,Level 1,Area,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Feb 2022,YEM,31900000,Al Mahwit,Al mahwait city,2022-01-01,2022-05-31,31859,20707,0.65,4778,0.15,6371,0.2,14336,0.45,6371,0.2,0,0,2022-06-01,2022-12-31,31859,22300,0.7,4778,0.15,4778,0.15,14336,0.45,7964,0.25,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Saqayn,2022-01-01,2022-05-31,95524,62089,0.65,14328,0.15,19104,0.2,42985,0.45,19104,0.2,0,0,2022-06-01,2022-12-31,95524,66866,0.7,14328,0.15,14328,0.15,42985,0.45,23881,0.25,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Monabbih,2022-01-01,2022-05-31,94697,66287,0.7,9469,0.1,18939,0.2,52083,0.55,14204,0.15,0,0,2022-06-01,2022-12-31,94697,71022,0.75,9469,0.1,14204,0.15,52083,0.55,18939,0.2,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Haydan,2022-01-01,2022-05-31,109776,76843,0.7,10977,0.1,21955,0.2,54888,0.5,21955,0.2,0,0,2022-06-01,2022-12-31,109776,82332,0.75,10977,0.1,16466,0.15,54888,0.5,27444,0.25,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,As safra,2022-01-01,2022-05-31,91694,50431,0.55,18338,0.2,22923,0.25,41262,0.45,9169,0.1,0,0,2022-06-01,2022-12-31,91694,55015,0.6,18338,0.2,18338,0.2,36677,0.4,18338,0.2,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Qatabir,2022-01-01,2022-05-31,41903,33521,0.8,2095,0.05,6285,0.15,23046,0.55,10475,0.25,0,0,2022-06-01,2022-12-31,41903,35616,0.85,2095,0.05,4190,0.1,23046,0.55,12570,0.3,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Al dhaher,2022-01-01,2022-05-31,39305,27513,0.7,3930,0.1,7861,0.2,17687,0.45,9826,0.25,0,0,2022-06-01,2022-12-31,39305,29478,0.75,3930,0.1,5895,0.15,17687,0.45,11791,0.3,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Shada'a,2022-01-01,2022-05-31,19405,11642,0.6,2910,0.15,4851,0.25,8732,0.45,2910,0.15,0,0,2022-06-01,2022-12-31,19405,12613,0.65,2910,0.15,3881,0.2,8732,0.45,3881,0.2,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Majz,2022-01-01,2022-05-31,124321,68376,0.55,18648,0.15,37296,0.3,49728,0.4,18648,0.15,0,0,2022-06-01,2022-12-31,124321,74592,0.6,18648,0.15,31080,0.25,49728,0.4,24864,0.2,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Ghamr,2022-01-01,2022-05-31,35837,23293,0.65,5375,0.15,7167,0.2,16126,0.45,7167,0.2,0,0,2022-06-01,2022-12-31,35837,25085,0.7,5375,0.15,5375,0.15,16126,0.45,8959,0.25,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Kitaf wa al boqe'e,2022-01-01,2022-05-31,78324,43077,0.55,11748,0.15,23497,0.3,35245,0.45,7832,0.1,0,0,2022-06-01,2022-12-31,78324,46993,0.6,11748,0.15,19581,0.25,35245,0.45,11748,0.15,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Al hashwah,2022-01-01,2022-05-31,26105,16968,0.65,3915,0.15,5221,0.2,10442,0.4,6526,0.25,0,0,2022-06-01,2022-12-31,26105,18273,0.7,3915,0.15,3915,0.15,10442,0.4,7831,0.3,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Sa'adah,2022-01-01,2022-05-31,103704,72592,0.7,10370,0.1,20740,0.2,46666,0.45,25926,0.25,0,0,2022-06-01,2022-12-31,103704,77778,0.75,10370,0.1,15555,0.15,51852,0.5,25926,0.25,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Razih,2022-01-01,2022-05-31,114110,74171,0.65,17116,0.15,22822,0.2,51349,0.45,22822,0.2,0,0,2022-06-01,2022-12-31,114110,79876,0.7,17116,0.15,17116,0.15,51349,0.45,28527,0.25,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Sahar,2022-01-01,2022-05-31,241509,156980,0.65,24150,0.1,60377,0.25,108679,0.45,48301,0.2,0,0,2022-06-01,2022-12-31,241509,169056,0.7,24150,0.1,48301,0.2,108679,0.45,60377,0.25,0,0,,,0,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,Baqim,2022-01-01,2022-05-31,41788,35519,0.85,2089,0.05,4178,0.1,25072,0.6,10447,0.25,0,0,2022-06-01,2022-12-31,41788,35519,0.85,2089,0.05,4178,0.1,22983,0.55,12536,0.3,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Ad dis,2020-10-01,2020-12-31,35746,9000,0.25,7000,0.2,19500,0.55,7000,0.2,2000,0.05,0,0,2021-01-01,2021-06-30,35746,10500,0.3,7000,0.2,18000,0.5,7000,0.2,3500,0.1,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Adh dhlia'ah,2020-10-01,2020-12-31,27976,5500,0.2,5500,0.2,17000,0.6,5500,0.2,0,0,0,0,2021-01-01,2021-06-30,27976,8500,0.3,5500,0.2,14000,0.5,7000,0.25,1500,0.05,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Al abr,2020-10-01,2020-12-31,9315,4000,0.4,1500,0.15,4000,0.45,2500,0.25,1500,0.15,0,0,2021-01-01,2021-06-30,9315,5500,0.55,1000,0.1,3500,0.35,3500,0.35,2000,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Al mukalla,2020-10-01,2020-12-31,22514,3500,0.15,7000,0.3,12500,0.55,3500,0.15,0,0,0,0,2021-01-01,2021-06-30,22514,8000,0.35,3500,0.15,11500,0.5,5500,0.25,2500,0.1,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Al mukalla city,2020-10-01,2020-12-31,282023,42500,0.15,70500,0.25,169000,0.6,42500,0.15,0,0,0,0,2021-01-01,2021-06-30,282023,56500,0.2,56500,0.2,169000,0.6,56500,0.2,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Al qaf,2020-10-01,2020-12-31,3300,500,0.1,1500,0.4,1500,0.5,500,0.1,0,0,0,0,2021-01-01,2021-06-30,3300,500,0.15,500,0.2,2000,0.65,500,0.15,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Al qatn,2020-10-01,2020-12-31,98083,19500,0.2,19500,0.2,59000,0.6,19500,0.2,0,0,0,0,2021-01-01,2021-06-30,98083,34500,0.35,10000,0.1,54000,0.55,29500,0.3,5000,0.05,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Amd,2020-10-01,2020-12-31,30400,4500,0.15,9000,0.3,16500,0.55,4500,0.15,0,0,0,0,2021-01-01,2021-06-30,30400,9000,0.3,9000,0.3,12000,0.4,7500,0.25,1500,0.05,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Ar raydah wa qusayar,2020-10-01,2020-12-31,69562,14000,0.2,14000,0.2,41500,0.6,10500,0.15,3500,0.05,0,0,2021-01-01,2021-06-30,69562,28000,0.4,14000,0.2,28000,0.4,21000,0.3,7000,0.1,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Ash shihr,2020-10-01,2020-12-31,112873,22500,0.2,34000,0.3,56500,0.5,22500,0.2,0,0,0,0,2021-01-01,2021-06-30,112873,28000,0.25,28000,0.25,56500,0.5,22500,0.2,5500,0.05,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,As sawm,2020-10-01,2020-12-31,19362,3000,0.15,6000,0.3,10500,0.55,3000,0.15,0,0,0,0,2021-01-01,2021-06-30,19362,4000,0.2,4000,0.2,11500,0.6,4000,0.2,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Brom mayfa,2020-10-01,2020-12-31,26644,8000,0.3,5500,0.2,13500,0.5,5500,0.2,2500,0.1,0,0,2021-01-01,2021-06-30,26644,13500,0.5,2500,0.1,10500,0.4,9500,0.35,4000,0.15,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Daw'an,2020-10-01,2020-12-31,66982,10000,0.15,27000,0.4,30000,0.45,10000,0.15,0,0,0,0,2021-01-01,2021-06-30,66982,10000,0.15,27000,0.4,30000,0.45,10000,0.15,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Ghayl ba wazir,2020-10-01,2020-12-31,75360,11500,0.15,22500,0.3,41500,0.55,11500,0.15,0,0,0,0,2021-01-01,2021-06-30,75360,15000,0.2,22500,0.3,37500,0.5,15000,0.2,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Ghayl bin yamin,2020-10-01,2020-12-31,42312,8500,0.2,10500,0.25,23500,0.55,6500,0.15,2000,0.05,0,0,2021-01-01,2021-06-30,42312,10500,0.25,8500,0.2,23500,0.55,8500,0.2,2000,0.05,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Hagr as sai'ar,2020-10-01,2020-12-31,3809,500,0.15,1500,0.35,2000,0.5,500,0.15,0,0,0,0,2021-01-01,2021-06-30,3809,500,0.15,1000,0.25,2500,0.6,500,0.15,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Hajr,2020-10-01,2020-12-31,39282,16000,0.4,10000,0.25,13500,0.35,8000,0.2,8000,0.2,0,0,2021-01-01,2021-06-30,39282,23500,0.6,4000,0.1,12000,0.3,15500,0.4,8000,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Huraidhah,2020-10-01,2020-12-31,28571,4500,0.15,10000,0.35,14500,0.5,4500,0.15,0,0,0,0,2021-01-01,2021-06-30,28571,7000,0.25,7000,0.25,14500,0.5,7000,0.25,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Rakhyah,2020-10-01,2020-12-31,13140,2000,0.15,4500,0.35,6500,0.5,2000,0.15,0,0,0,0,2021-01-01,2021-06-30,13140,3500,0.25,4500,0.35,5500,0.4,3500,0.25,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Rumah,2020-10-01,2020-12-31,9859,500,0.05,3500,0.35,6000,0.6,500,0.05,0,0,0,0,2021-01-01,2021-06-30,9859,1500,0.15,2000,0.2,6500,0.65,1500,0.15,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Sah,2020-10-01,2020-12-31,35794,5500,0.15,10500,0.3,19500,0.55,5500,0.15,0,0,0,0,2021-01-01,2021-06-30,35794,7000,0.2,10500,0.3,18000,0.5,7000,0.2,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Sayun,2020-10-01,2020-12-31,159138,24000,0.15,47500,0.3,87500,0.55,24000,0.15,0,0,0,0,2021-01-01,2021-06-30,159138,40000,0.25,40000,0.25,79500,0.5,40000,0.25,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Shibam,2020-10-01,2020-12-31,75910,7500,0.1,30500,0.4,38000,0.5,7500,0.1,0,0,0,0,2021-01-01,2021-06-30,75910,11500,0.15,30500,0.4,34000,0.45,11500,0.15,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Tarim,2020-10-01,2020-12-31,155611,23500,0.15,46500,0.3,85500,0.55,23500,0.15,0,0,0,0,2021-01-01,2021-06-30,155611,39000,0.25,39000,0.25,78000,0.5,39000,0.25,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Thamud,2020-10-01,2020-12-31,6899,500,0.1,2000,0.3,4000,0.6,500,0.1,0,0,0,0,2021-01-01,2021-06-30,6899,1000,0.15,1500,0.2,4500,0.65,1000,0.15,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Wadi al ayn,2020-10-01,2020-12-31,43089,6500,0.15,15000,0.35,21500,0.5,6500,0.15,0,0,0,0,2021-01-01,2021-06-30,43089,8500,0.2,13000,0.3,21500,0.5,8500,0.2,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Yabuth,2020-10-01,2020-12-31,15068,2500,0.15,4500,0.3,8500,0.55,2500,0.15,0,0,0,0,2021-01-01,2021-06-30,15068,3000,0.2,4500,0.3,7500,0.5,3000,0.2,0,0,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,Zamakh wa manwakh,2020-10-01,2020-12-31,2273,500,0.2,500,0.25,1500,0.55,500,0.2,0,0,0,0,2021-01-01,2021-06-30,2273,500,0.35,500,0.25,1000,0.4,500,0.25,0,0.1,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Ad durayhimi,2020-10-01,2020-12-31,21897,10000,0.45,5500,0.25,6500,0.3,5500,0.25,4500,0.2,0,0,2021-01-01,2021-06-30,21897,13000,0.6,4500,0.2,4500,0.2,7500,0.35,5500,0.25,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Al garrahi,2020-10-01,2020-12-31,129050,51500,0.4,32500,0.25,45000,0.35,45000,0.35,6500,0.05,0,0,2021-01-01,2021-06-30,129050,64500,0.5,26000,0.2,38500,0.3,51500,0.4,13000,0.1,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Al hajjaylah,2020-10-01,2020-12-31,16663,9000,0.55,3500,0.2,4000,0.25,6500,0.4,2500,0.15,0,0,2021-01-01,2021-06-30,16663,10000,0.6,2500,0.15,4000,0.25,7500,0.45,2500,0.15,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Al hali,2020-10-01,2020-12-31,60934,36500,0.6,6000,0.1,18500,0.3,24500,0.4,12000,0.2,0,0,2021-01-01,2021-06-30,60934,39500,0.65,6000,0.1,15000,0.25,24500,0.4,15000,0.25,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Al hawak,2020-10-01,2020-12-31,82280,33000,0.4,20500,0.25,29000,0.35,20500,0.25,12500,0.15,0,0,2021-01-01,2021-06-30,82280,45500,0.55,16500,0.2,20500,0.25,29000,0.35,16500,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Al khawkhah,2020-10-01,2020-12-31,39521,18000,0.45,8000,0.2,14000,0.35,10000,0.25,8000,0.2,0,0,2021-01-01,2021-06-30,39521,22000,0.55,6000,0.15,12000,0.3,14000,0.35,8000,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Alluheyah,2020-10-01,2020-12-31,171578,68500,0.4,43000,0.25,60000,0.35,43000,0.25,25500,0.15,0,0,2021-01-01,2021-06-30,171578,86000,0.5,43000,0.25,43000,0.25,51500,0.3,34500,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Al mansuriyah,2020-10-01,2020-12-31,96388,29000,0.3,29000,0.3,38500,0.4,19500,0.2,9500,0.1,0,0,2021-01-01,2021-06-30,96388,43500,0.45,19500,0.2,33500,0.35,29000,0.3,14500,0.15,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Al marawi'ah,2020-10-01,2020-12-31,239385,96000,0.4,60000,0.25,84000,0.35,60000,0.25,36000,0.15,0,0,2021-01-01,2021-06-30,239385,120000,0.5,48000,0.2,72000,0.3,72000,0.3,48000,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Al mighlaf,2020-10-01,2020-12-31,61152,30500,0.5,12000,0.2,18500,0.3,24500,0.4,6000,0.1,0,0,2021-01-01,2021-06-30,61152,36500,0.6,9000,0.15,15500,0.25,27500,0.45,9000,0.15,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Al mina,2020-10-01,2020-12-31,33130,17000,0.5,6500,0.2,10000,0.3,13500,0.4,3500,0.1,0,0,2021-01-01,2021-06-30,33130,20000,0.6,5000,0.15,8500,0.25,15000,0.45,5000,0.15,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Al munirah,2020-10-01,2020-12-31,61204,27500,0.45,15500,0.25,18500,0.3,18500,0.3,9000,0.15,0,0,2021-01-01,2021-06-30,61204,30500,0.5,15500,0.25,15500,0.25,18500,0.3,12000,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Al qanawis,2020-10-01,2020-12-31,119096,71500,0.6,18000,0.15,30000,0.25,47500,0.4,24000,0.2,0,0,2021-01-01,2021-06-30,119096,77500,0.65,18000,0.15,24000,0.2,47500,0.4,30000,0.25,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,As salif,2020-10-01,2020-12-31,9529,4000,0.4,2500,0.25,3500,0.35,2500,0.25,1500,0.15,0,0,2021-01-01,2021-06-30,9529,5000,0.5,2500,0.25,2500,0.25,3000,0.3,2000,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,As sukhnah,2020-10-01,2020-12-31,125070,37500,0.3,37500,0.3,50000,0.4,25000,0.2,12500,0.1,0,0,2021-01-01,2021-06-30,125070,63000,0.5,31500,0.25,31500,0.25,44000,0.35,19000,0.15,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,At tuhayat,2020-10-01,2020-12-31,80869,24000,0.3,28500,0.35,28500,0.35,16000,0.2,8000,0.1,0,0,2021-01-01,2021-06-30,80869,36000,0.45,16000,0.2,28500,0.35,20000,0.25,16000,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Az zaydiyah,2020-10-01,2020-12-31,153759,54000,0.35,38500,0.25,61500,0.4,38500,0.25,15500,0.1,0,0,2021-01-01,2021-06-30,153759,77000,0.5,31000,0.2,46000,0.3,54000,0.35,23000,0.15,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Az zuhrah,2020-10-01,2020-12-31,224061,123500,0.55,45000,0.2,56000,0.25,78500,0.35,45000,0.2,0,0,2021-01-01,2021-06-30,224061,134500,0.6,45000,0.2,45000,0.2,89500,0.4,45000,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Bajil,2020-10-01,2020-12-31,262946,170500,0.65,26500,0.1,65500,0.25,105000,0.4,65500,0.25,0,0,2021-01-01,2021-06-30,262946,184000,0.7,26500,0.1,52500,0.2,118500,0.45,65500,0.25,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Bayt al faqiah,2020-10-01,2020-12-31,413406,186000,0.45,103500,0.25,124000,0.3,124000,0.3,62000,0.15,0,0,2021-01-01,2021-06-30,413406,227000,0.55,82500,0.2,103500,0.25,144500,0.35,82500,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Bura,2020-10-01,2020-12-31,74621,41000,0.55,11000,0.15,22500,0.3,26000,0.35,15000,0.2,0,0,2021-01-01,2021-06-30,74621,48500,0.65,11000,0.15,15000,0.2,30000,0.4,18500,0.25,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Hays,2020-10-01,2020-12-31,48091,14500,0.3,14500,0.3,19000,0.4,9500,0.2,5000,0.1,0,0,2021-01-01,2021-06-30,48091,21500,0.45,9500,0.2,17000,0.35,12000,0.25,9500,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Jabal ra's,2020-10-01,2020-12-31,72309,36000,0.5,18000,0.25,18000,0.25,29000,0.4,7000,0.1,0,0,2021-01-01,2021-06-30,72309,47000,0.65,7000,0.1,18000,0.25,36000,0.5,11000,0.15,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Kamaran,2020-10-01,2020-12-31,3929,2000,0.45,1000,0.25,1000,0.3,1000,0.25,1000,0.2,0,0,2021-01-01,2021-06-30,3929,2000,0.5,1000,0.25,1000,0.25,1000,0.3,1000,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Ad dahi,2020-10-01,2020-12-31,99818,65000,0.65,10000,0.1,25000,0.25,45000,0.45,20000,0.2,0,0,2021-01-01,2021-06-30,99818,65000,0.65,10000,0.1,25000,0.25,45000,0.45,20000,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,Zabid,2020-10-01,2020-12-31,284436,114000,0.4,71000,0.25,99500,0.35,85500,0.3,28500,0.1,0,0,2021-01-01,2021-06-30,284436,156500,0.55,57000,0.2,71000,0.25,114000,0.4,42500,0.15,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hajjah,Aflah al yaman,2020-10-01,2020-12-31,62404,28000,0.45,12500,0.2,22000,0.35,22000,0.35,6000,0.1,0,0,2021-01-01,2021-06-30,62404,34500,0.55,6000,0.1,22000,0.35,22000,0.35,12500,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hajjah,Aflah ash shawm,2020-10-01,2020-12-31,82294,37000,0.45,20500,0.25,24500,0.3,33000,0.4,4000,0.05,0,0,2021-01-01,2021-06-30,82294,41000,0.5,16500,0.2,24500,0.3,33000,0.4,8000,0.1,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hajjah,Al jamimah,2020-10-01,2020-12-31,61599,36500,0.6,9000,0.15,15500,0.25,27500,0.45,9000,0.15,0,0,2021-01-01,2021-06-30,61599,43000,0.7,6000,0.1,12500,0.2,27500,0.45,15500,0.25,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hajjah,Al maghrabah,2020-10-01,2020-12-31,95524,62000,0.65,14500,0.15,19000,0.2,38000,0.4,24000,0.25,0,0,2021-01-01,2021-06-30,95524,71500,0.75,9500,0.1,14500,0.15,38000,0.4,28500,0.3,5000,0.05,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hajjah,Al mahabishah,2020-10-01,2020-12-31,80097,52000,0.65,8000,0.1,20000,0.25,36000,0.45,16000,0.2,0,0,2021-01-01,2021-06-30,80097,60000,0.75,4000,0.05,16000,0.2,32000,0.4,28000,0.35,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hajjah,Al miftah,2020-10-01,2020-12-31,48560,29500,0.6,5000,0.1,14500,0.3,22000,0.45,7500,0.15,0,0,2021-01-01,2021-06-30,48560,34000,0.7,2500,0.05,12000,0.25,24500,0.5,9500,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hajjah,Ash shaghadirah,2020-10-01,2020-12-31,75276,38000,0.5,15000,0.2,22500,0.3,26500,0.35,11500,0.15,0,0,2021-01-01,2021-06-30,75276,45000,0.6,11500,0.15,19000,0.25,30000,0.4,15000,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hajjah,Ash shahil,2020-10-01,2020-12-31,49639,25000,0.5,7500,0.15,17500,0.35,22500,0.45,2500,0.05,0,0,2021-01-01,2021-06-30,49639,32500,0.65,2500,0.05,15000,0.3,25000,0.5,7500,0.15,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hajjah,Aslem,2020-10-01,2020-12-31,89544,40500,0.45,22500,0.25,27000,0.3,31500,0.35,9000,0.1,0,0,2021-01-01,2021-06-30,89544,45000,0.5,18000,0.2,27000,0.3,27000,0.3,18000,0.2,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hajjah,Bakil al mir,2020-10-01,2020-12-31,50338,35000,0.7,5000,0.1,10000,0.2,22500,0.45,12500,0.25,0,0,2021-01-01,2021-06-30,50338,40000,0.8,2500,0.05,7500,0.15,22500,0.45,17500,0.35,0,0,,,0,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hajjah,Bani al awam,2020-10-01,2020-12-31,77984,39000,0.5,15500,0.2,23500,0.3,27500,0.35,11500,0.15,0,0,2021-01-01,2021-06-30,77984,50500,0.65,11500,0.15,15500,0.2,35000,0.45,15500,0.2,0,0,,,0,,,,,,,,,,,,
