Date of analysis,Country,Total country population,Level 1,Area,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Aug 2022,YEM,31900000,Abyan,Lawdar,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,133406,66500,0.5,33500,0.25,33500,0.25,46500,0.35,20000,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Abyan,Sarar,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,21720,12000,0.55,5500,0.25,4500,0.2,7500,0.35,4500,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Abyan,Zinjibar,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,43988,26500,0.6,9000,0.2,9000,0.2,17500,0.4,9000,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Abyan,Al mahfad,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,38138,15500,0.4,9500,0.25,13500,0.35,11500,0.3,4000,0.1,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,Jahran,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,160427,80000,0.5,40000,0.25,40000,0.25,56000,0.35,24000,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,Dhamar city,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,322730,209500,0.65,48500,0.15,64500,0.2,129000,0.4,80500,0.25,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,Jabal ash sharq,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,104940,63000,0.6,15500,0.15,26000,0.25,42000,0.4,21000,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,Dawran aness,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,205801,113000,0.55,41000,0.2,51500,0.25,72000,0.35,41000,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,Utmah,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,255106,166000,0.65,38500,0.15,51000,0.2,102000,0.4,64000,0.25,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,Mayfa'at anss,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,101917,61500,0.6,20500,0.2,20500,0.2,46000,0.45,15500,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,Al manar,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,82469,41000,0.5,8000,0.1,33000,0.4,24500,0.3,16500,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,Al hada,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,204476,102000,0.5,41000,0.2,61500,0.3,71500,0.35,30500,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,Wusab as safil,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,284545,156500,0.55,42500,0.15,85500,0.3,99500,0.35,57000,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,Anss,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,197194,148000,0.75,19500,0.1,29500,0.15,108500,0.55,39500,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,Wusab al ali,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,288086,187000,0.65,43000,0.15,57500,0.2,115000,0.4,72000,0.25,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Dhamar,Maghirib ans,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,91597,46000,0.5,23000,0.25,23000,0.25,27500,0.3,18500,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Marib,Jabal murad,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,18453,11000,0.6,3000,0.15,4500,0.25,7500,0.4,3500,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Marib,Al jubah,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,16950,6500,0.4,4000,0.25,6000,0.35,4000,0.25,2500,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Marib,Harib al qaramish,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,5940,3000,0.45,1000,0.2,2000,0.35,2000,0.3,1000,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Marib,Mahliyah,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,9095,4000,0.45,2000,0.2,3000,0.35,2500,0.3,1500,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Marib,Rahabah,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,5890,2500,0.4,1500,0.25,2000,0.35,1500,0.25,1000,0.15,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Marib,Raghwan,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,13820,8000,0.55,3000,0.2,3500,0.25,5000,0.35,3000,0.2,0,0,,,0,,,,,,,,,,,,
Aug 2022,YEM,31900000,Marib,Bidbadah,,,0,,,,,,,,,,,,,2022-10-01,2022-12-31,26646,17500,0.65,4000,0.15,5500,0.2,12000,0.45,5500,0.2,0,0,,,0,,,,,,,,,,,,
