countrycode,countryname,adminone,adminlevel,date,datatype,indicator name,population,prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#date,#data+type,#indicator+name,#population,#indicator+prevalence
YEM,Yemen,,national,2024-11-02,SURVEY,fcs,21414093,0.6268023489501882
YEM,Yemen,,national,2024-11-02,SURVEY,rcsi,17962090,0.52576031140122
YEM,Yemen,,national,2024-11-01,SURVEY,fcs,21362575,0.6252943885890738
YEM,Yemen,,national,2024-11-01,SURVEY,rcsi,18020263,0.5274630672940556
YEM,Yemen,,national,2024-10-31,SURVEY,fcs,21393018,0.6261854720409433
YEM,Yemen,,national,2024-10-31,SURVEY,rcsi,18255731,0.5343553459211543
YEM,Yemen,,national,2024-10-30,SURVEY,fcs,21390499,0.6261117281861348
YEM,Yemen,,national,2024-10-30,SURVEY,rcsi,18289796,0.5353524473168093
YEM,Yemen,,national,2024-10-29,SURVEY,fcs,21398629,0.6263496977795582
YEM,Yemen,,national,2024-10-29,SURVEY,rcsi,18289359,0.5353396560850494
YEM,Yemen,,national,2024-10-28,SURVEY,fcs,21308915,0.6237237307029487
YEM,Yemen,,national,2024-10-28,SURVEY,rcsi,18322519,0.5363102676300348
YEM,Yemen,,national,2024-10-27,SURVEY,fcs,21289294,0.6231494131780948
YEM,Yemen,,national,2024-10-27,SURVEY,rcsi,18281279,0.5351031500149807
YEM,Yemen,,national,2024-10-26,SURVEY,fcs,21276432,0.6227729353224977
YEM,Yemen,,national,2024-10-26,SURVEY,rcsi,18265002,0.5346267132201156
YEM,Yemen,,national,2024-10-25,SURVEY,fcs,21151919,0.6191283709286272
YEM,Yemen,,national,2024-10-25,SURVEY,rcsi,18220695,0.5333298228183164
YEM,Yemen,,national,2024-10-24,SURVEY,fcs,21132707,0.6185660250600427
YEM,Yemen,,national,2024-10-24,SURVEY,rcsi,18245755,0.5340633428821685
YEM,Yemen,,national,2024-10-23,SURVEY,fcs,21146698,0.6189755493702324
YEM,Yemen,,national,2024-10-23,SURVEY,rcsi,18287524,0.5352859446198791
YEM,Yemen,,national,2024-10-22,SURVEY,fcs,21143788,0.6188903720603437
YEM,Yemen,,national,2024-10-22,SURVEY,rcsi,18263093,0.5345708357340065
YEM,Yemen,,national,2024-10-21,SURVEY,fcs,21074488,0.6168619227217587
YEM,Yemen,,national,2024-10-21,SURVEY,rcsi,18124808,0.5305231572811028
