countrycode,countryname,adminone,adminlevel,population,date,datatype,fcs people,fcs prevalence,rcsi people,rcsi prevalence,health access people,health access prevalence,market access people,market access prevalence
#country+code,#country+name,#adm1+name,#meta+adminlevel,#population+total,#date,#data+type,#population+fcs,#indicator+fcs+prevalence,#population+rcsi,#indicator+rcsi+prevalence,#population+health_access,#indicator+health_access+prevalence,#population+market_access,#indicator+market_access+prevalence
YEM,Yemen,,national,,2024-09-06,SURVEY,21857787,0.6397894549721282,18382533,0.53806691061136,,,,
YEM,Yemen,,national,,2024-09-05,SURVEY,21801417,0.638139495211023,18383791,0.5381037329673187,,,,
YEM,Yemen,,national,,2024-09-04,SURVEY,21791969,0.6378629258890443,18330208,0.536535328913792,,,,
YEM,Yemen,,national,,2024-09-03,SURVEY,21695150,0.6350289804744904,18361954,0.5374645518965152,,,,
YEM,Yemen,,national,,2024-09-02,SURVEY,21726068,0.6359339673502811,18461911,0.5403903485853601,,,,
YEM,Yemen,,national,,2024-09-01,SURVEY,21681676,0.6346345890790442,18471871,0.5406818832954943,,,,
YEM,Yemen,,national,,2024-08-31,SURVEY,21647222,0.6336261149390261,18370487,0.5377143175271956,,,,
YEM,Yemen,,national,,2024-08-30,SURVEY,21689319,0.6348583662324595,18302248,0.5357169242455837,,,,
YEM,Yemen,,national,,2024-08-29,SURVEY,21804816,0.6382390273184415,18235600,0.533766100414155,,,,
YEM,Yemen,,national,,2024-08-28,SURVEY,21754528,0.6367670832060495,18136791,0.530873906320414,,,,
YEM,Yemen,,national,,2024-08-27,SURVEY,21727445,0.6359743353447668,17989785,0.5265709593728234,,,,
YEM,Yemen,,national,,2024-08-26,SURVEY,21830175,0.6389812864469767,17942904,0.5251987265670196,,,,
YEM,Yemen,,national,,2024-08-25,SURVEY,21860421,0.639866643759996,17800210,0.5210219942449409,,,,
YEM,Yemen,,national,,2024-08-24,SURVEY,21889305,0.6407120670899813,17766999,0.5200498899017411,,,,
YEM,Yemen,,national,,2024-08-23,SURVEY,21878541,0.6403969988550531,17724739,0.5188129163223961,,,,
YEM,Yemen,,national,,2024-08-22,SURVEY,21915125,0.6414678566190365,17770118,0.520141184757254,,,,
YEM,Yemen,,national,,2024-08-21,SURVEY,21814006,0.6385080626633071,17689943,0.5177944181523326,,,,
YEM,Yemen,,national,,2024-08-20,SURVEY,21698200,0.6351183180156625,17622692,0.5158259441773083,,,,
YEM,Yemen,,national,,2024-08-19,SURVEY,21670148,0.6342972204565575,17653494,0.516727535757786,,,,
YEM,Yemen,,national,,2024-08-18,SURVEY,21623817,0.6329411074448898,17693873,0.5179094514265121,,,,
YEM,Yemen,,national,,2024-08-17,SURVEY,21678683,0.6345470446283442,17693945,0.5179115589063444,,,,
YEM,Yemen,,national,,2024-08-16,SURVEY,21719763,0.635749478954882,17643090,0.5164230049220191,,,,
YEM,Yemen,,national,,2024-08-15,SURVEY,21758503,0.6368834201868703,17704023,0.5182065475417594,,,,
YEM,Yemen,,national,,2024-08-14,SURVEY,21867144,0.6400634023599325,17724481,0.5188053645196636,,,,
YEM,Yemen,,national,,2024-08-13,SURVEY,21901169,0.6410593329334587,17627982,0.5159807854038756,,,,
YEM,Yemen,,national,,2024-08-12,SURVEY,21962329,0.6428495199687811,17631508,0.5160839933745517,,,,
YEM,Yemen,,national,,2024-08-11,SURVEY,22004044,0.6440706043382515,17481899,0.511704855176913,,,,
YEM,Yemen,,national,,2024-08-10,SURVEY,22065974,0.6458832664579247,17539684,0.5133962540950967,,,,
YEM,Yemen,,national,,2024-08-09,SURVEY,22038380,0.6450755748121972,17568872,0.514250603002667,,,,
YEM,Yemen,,national,,2024-08-08,SURVEY,21897109,0.6409405458220514,17439017,0.5104496753134613,,,,
YEM,Yemen,,national,,2024-08-07,SURVEY,21776754,0.637417637053804,17493343,0.5120398273880351,,,,
YEM,Yemen,,national,,2024-08-06,SURVEY,21684740,0.6347243363692361,17319921,0.5069636695064177,,,,
YEM,Yemen,,national,,2024-08-05,SURVEY,21660070,0.6340022452309173,17315776,0.5068423430632946,,,,
YEM,Yemen,,national,,2024-08-04,SURVEY,21623441,0.6329301017165117,17364707,0.5082745805032123,,,,
