location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,operation,assessment_type,population,reporting_round,reference_period_start,reference_period_end
YEM,True,True,Amanat Al Asimah,Al Wahdah,YE13,Sana'a City,YE1306,Al Wehdah,Yemen conflict,BA,1036,3,2015-07-30,2015-07-30
YEM,True,True,Amanat Al Asimah,Al Wahdah,YE13,Sana'a City,YE1306,Al Wehdah,Yemen conflict,BA,12482,9,2016-06-30,2016-06-30
YEM,True,True,Amanat Al Asimah,Al Wahdah,YE13,Sana'a City,YE1306,Al Wehdah,Yemen conflict,BA,13146,10,2016-07-31,2016-07-31
YEM,True,True,Amanat Al Asimah,Al Wahdah,YE13,Sana'a City,YE1306,Al Wehdah,Yemen conflict,BA,8016,11,2016-09-30,2016-09-30
YEM,True,True,Amanat Al Asimah,Al Wahdah,YE13,Sana'a City,YE1306,Al Wehdah,Yemen conflict,BA,8154,12,2016-12-31,2016-12-31
YEM,True,True,Amanat Al Asimah,Al Wahdah,YE13,Sana'a City,YE1306,Al Wehdah,Yemen conflict,BA,8154,13,2017-02-28,2017-02-28
YEM,True,True,Amanat Al Asimah,Al Wahdah,YE13,Sana'a City,YE1306,Al Wehdah,Yemen conflict,BA,6708,14,2017-04-30,2017-04-30
YEM,True,True,Amanat Al Asimah,Al Wahdah,YE13,Sana'a City,YE1306,Al Wehdah,Yemen conflict,BA,8250,15,2017-06-30,2017-06-30
YEM,True,True,Amanat Al Asimah,Al Wahdah,YE13,Sana'a City,YE1306,Al Wehdah,Yemen conflict,BA,8250,16,2017-09-30,2017-09-30
YEM,True,True,Amanat Al Asimah,Al Wahdah,YE13,Sana'a City,YE1306,Al Wehdah,Yemen conflict,BA,10542,32,2018-06-30,2018-06-30
YEM,True,True,Amanat Al Asimah,Al Wahdah,YE13,Sana'a City,YE1306,Al Wehdah,Yemen conflict,BA,5010,37,2018-11-30,2018-11-30
YEM,True,True,Amanat Al Asimah,As Sabain,YE13,Sana'a City,YE1305,As Sab'in,Yemen conflict,BA,165,3,2015-07-30,2015-07-30
YEM,True,True,Amanat Al Asimah,As Sabain,YE13,Sana'a City,YE1305,As Sab'in,Yemen conflict,BA,30990,9,2016-06-30,2016-06-30
YEM,True,True,Amanat Al Asimah,As Sabain,YE13,Sana'a City,YE1305,As Sab'in,Yemen conflict,BA,35688,10,2016-07-31,2016-07-31
YEM,True,True,Amanat Al Asimah,As Sabain,YE13,Sana'a City,YE1305,As Sab'in,Yemen conflict,BA,45570,11,2016-09-30,2016-09-30
YEM,True,True,Amanat Al Asimah,As Sabain,YE13,Sana'a City,YE1305,As Sab'in,Yemen conflict,BA,45744,12,2016-12-31,2016-12-31
YEM,True,True,Amanat Al Asimah,As Sabain,YE13,Sana'a City,YE1305,As Sab'in,Yemen conflict,BA,46152,13,2017-02-28,2017-02-28
YEM,True,True,Amanat Al Asimah,As Sabain,YE13,Sana'a City,YE1305,As Sab'in,Yemen conflict,BA,38634,14,2017-04-30,2017-04-30
YEM,True,True,Amanat Al Asimah,As Sabain,YE13,Sana'a City,YE1305,As Sab'in,Yemen conflict,BA,41028,15,2017-06-30,2017-06-30
YEM,True,True,Amanat Al Asimah,As Sabain,YE13,Sana'a City,YE1305,As Sab'in,Yemen conflict,BA,41028,16,2017-09-30,2017-09-30
YEM,True,True,Amanat Al Asimah,As Sabain,YE13,Sana'a City,YE1305,As Sab'in,Yemen conflict,BA,52782,32,2018-06-30,2018-06-30
YEM,True,True,Amanat Al Asimah,As Sabain,YE13,Sana'a City,YE1305,As Sab'in,Yemen conflict,BA,14556,37,2018-11-30,2018-11-30
YEM,True,True,Amanat Al Asimah,Az'Zal,YE13,Sana'a City,YE1303,Azaal,Yemen conflict,BA,102,3,2015-07-30,2015-07-30
YEM,True,True,Amanat Al Asimah,Az'Zal,YE13,Sana'a City,YE1303,Azaal,Yemen conflict,BA,3192,9,2016-06-30,2016-06-30
YEM,True,True,Amanat Al Asimah,Az'Zal,YE13,Sana'a City,YE1303,Azaal,Yemen conflict,BA,2982,10,2016-07-31,2016-07-31
YEM,True,True,Amanat Al Asimah,Az'Zal,YE13,Sana'a City,YE1303,Azaal,Yemen conflict,BA,4134,11,2016-09-30,2016-09-30
YEM,True,True,Amanat Al Asimah,Az'Zal,YE13,Sana'a City,YE1303,Azaal,Yemen conflict,BA,4728,12,2016-12-31,2016-12-31
YEM,True,True,Amanat Al Asimah,Az'Zal,YE13,Sana'a City,YE1303,Azaal,Yemen conflict,BA,4692,13,2017-02-28,2017-02-28
YEM,True,True,Amanat Al Asimah,Az'Zal,YE13,Sana'a City,YE1303,Azaal,Yemen conflict,BA,4020,14,2017-04-30,2017-04-30
YEM,True,True,Amanat Al Asimah,Az'Zal,YE13,Sana'a City,YE1303,Azaal,Yemen conflict,BA,4212,15,2017-06-30,2017-06-30
YEM,True,True,Amanat Al Asimah,Az'Zal,YE13,Sana'a City,YE1303,Azaal,Yemen conflict,BA,4212,16,2017-09-30,2017-09-30
YEM,True,True,Amanat Al Asimah,Az'Zal,YE13,Sana'a City,YE1303,Azaal,Yemen conflict,BA,5520,32,2018-06-30,2018-06-30
YEM,True,True,Amanat Al Asimah,Az'Zal,YE13,Sana'a City,YE1303,Azaal,Yemen conflict,BA,5694,37,2018-11-30,2018-11-30
YEM,True,True,Amanat Al Asimah,Bani Al Harith,YE13,Sana'a City,YE1310,Bani Al Harith,Yemen conflict,BA,1048,3,2015-07-30,2015-07-30
YEM,True,True,Amanat Al Asimah,Bani Al Harith,YE13,Sana'a City,YE1310,Bani Al Harith,Yemen conflict,BA,24358,9,2016-06-30,2016-06-30
YEM,True,True,Amanat Al Asimah,Bani Al Harith,YE13,Sana'a City,YE1310,Bani Al Harith,Yemen conflict,BA,29712,10,2016-07-31,2016-07-31
YEM,True,True,Amanat Al Asimah,Bani Al Harith,YE13,Sana'a City,YE1310,Bani Al Harith,Yemen conflict,BA,26850,11,2016-09-30,2016-09-30
YEM,True,True,Amanat Al Asimah,Bani Al Harith,YE13,Sana'a City,YE1310,Bani Al Harith,Yemen conflict,BA,35526,12,2016-12-31,2016-12-31
YEM,True,True,Amanat Al Asimah,Bani Al Harith,YE13,Sana'a City,YE1310,Bani Al Harith,Yemen conflict,BA,36684,13,2017-02-28,2017-02-28
YEM,True,True,Amanat Al Asimah,Bani Al Harith,YE13,Sana'a City,YE1310,Bani Al Harith,Yemen conflict,BA,35964,14,2017-04-30,2017-04-30
YEM,True,True,Amanat Al Asimah,Bani Al Harith,YE13,Sana'a City,YE1310,Bani Al Harith,Yemen conflict,BA,36186,15,2017-06-30,2017-06-30
YEM,True,True,Amanat Al Asimah,Bani Al Harith,YE13,Sana'a City,YE1310,Bani Al Harith,Yemen conflict,BA,36186,16,2017-09-30,2017-09-30
YEM,True,True,Amanat Al Asimah,Bani Al Harith,YE13,Sana'a City,YE1310,Bani Al Harith,Yemen conflict,BA,52284,32,2018-06-30,2018-06-30
YEM,True,True,Amanat Al Asimah,Bani Al Harith,YE13,Sana'a City,YE1310,Bani Al Harith,Yemen conflict,BA,119922,37,2018-11-30,2018-11-30
YEM,True,True,Amanat Al Asimah,Ma'Ain,YE13,Sana'a City,YE1308,Ma'in,Yemen conflict,BA,478,3,2015-07-30,2015-07-30
YEM,True,True,Amanat Al Asimah,Ma'Ain,YE13,Sana'a City,YE1308,Ma'in,Yemen conflict,BA,30713,9,2016-06-30,2016-06-30
YEM,True,True,Amanat Al Asimah,Ma'Ain,YE13,Sana'a City,YE1308,Ma'in,Yemen conflict,BA,32640,10,2016-07-31,2016-07-31
YEM,True,True,Amanat Al Asimah,Ma'Ain,YE13,Sana'a City,YE1308,Ma'in,Yemen conflict,BA,35310,11,2016-09-30,2016-09-30
YEM,True,True,Amanat Al Asimah,Ma'Ain,YE13,Sana'a City,YE1308,Ma'in,Yemen conflict,BA,34104,12,2016-12-31,2016-12-31
YEM,True,True,Amanat Al Asimah,Ma'Ain,YE13,Sana'a City,YE1308,Ma'in,Yemen conflict,BA,32772,13,2017-02-28,2017-02-28
YEM,True,True,Amanat Al Asimah,Ma'Ain,YE13,Sana'a City,YE1308,Ma'in,Yemen conflict,BA,26160,14,2017-04-30,2017-04-30
YEM,True,True,Amanat Al Asimah,Ma'Ain,YE13,Sana'a City,YE1308,Ma'in,Yemen conflict,BA,27834,15,2017-06-30,2017-06-30
YEM,True,True,Amanat Al Asimah,Ma'Ain,YE13,Sana'a City,YE1308,Ma'in,Yemen conflict,BA,27834,16,2017-09-30,2017-09-30
YEM,True,True,Amanat Al Asimah,Ma'Ain,YE13,Sana'a City,YE1308,Ma'in,Yemen conflict,BA,39552,32,2018-06-30,2018-06-30
YEM,True,True,Amanat Al Asimah,Ma'Ain,YE13,Sana'a City,YE1308,Ma'in,Yemen conflict,BA,51060,37,2018-11-30,2018-11-30
YEM,True,True,Amanat Al Asimah,Old City,YE13,Sana'a City,YE1301,Old City,Yemen conflict,BA,6,3,2015-07-30,2015-07-30
YEM,True,True,Amanat Al Asimah,Old City,YE13,Sana'a City,YE1301,Old City,Yemen conflict,BA,705,9,2016-06-30,2016-06-30
YEM,True,True,Amanat Al Asimah,Old City,YE13,Sana'a City,YE1301,Old City,Yemen conflict,BA,870,10,2016-07-31,2016-07-31
YEM,True,True,Amanat Al Asimah,Old City,YE13,Sana'a City,YE1301,Old City,Yemen conflict,BA,960,11,2016-09-30,2016-09-30
YEM,True,True,Amanat Al Asimah,Old City,YE13,Sana'a City,YE1301,Old City,Yemen conflict,BA,996,12,2016-12-31,2016-12-31
YEM,True,True,Amanat Al Asimah,Old City,YE13,Sana'a City,YE1301,Old City,Yemen conflict,BA,1044,13,2017-02-28,2017-02-28
YEM,True,True,Amanat Al Asimah,Old City,YE13,Sana'a City,YE1301,Old City,Yemen conflict,BA,1230,14,2017-04-30,2017-04-30
YEM,True,True,Amanat Al Asimah,Old City,YE13,Sana'a City,YE1301,Old City,Yemen conflict,BA,1332,15,2017-06-30,2017-06-30
YEM,True,True,Amanat Al Asimah,Old City,YE13,Sana'a City,YE1301,Old City,Yemen conflict,BA,1332,16,2017-09-30,2017-09-30
YEM,True,True,Amanat Al Asimah,Old City,YE13,Sana'a City,YE1301,Old City,Yemen conflict,BA,1716,32,2018-06-30,2018-06-30
YEM,True,True,Amanat Al Asimah,Old City,YE13,Sana'a City,YE1301,Old City,Yemen conflict,BA,4296,37,2018-11-30,2018-11-30
YEM,True,True,Amanat Al Asimah,Shu'Aub,YE13,Sana'a City,YE1302,Shu'ub,Yemen conflict,BA,5619,3,2015-07-30,2015-07-30
YEM,True,True,Amanat Al Asimah,Shu'Aub,YE13,Sana'a City,YE1302,Shu'ub,Yemen conflict,BA,14088,9,2016-06-30,2016-06-30
YEM,True,True,Amanat Al Asimah,Shu'Aub,YE13,Sana'a City,YE1302,Shu'ub,Yemen conflict,BA,14748,10,2016-07-31,2016-07-31
YEM,True,True,Amanat Al Asimah,Shu'Aub,YE13,Sana'a City,YE1302,Shu'ub,Yemen conflict,BA,16206,11,2016-09-30,2016-09-30
