Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#loc+area,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,second projection,2024-10-01,2025-02-28,3+,17784,0.2
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,second projection,2024-10-01,2025-02-28,1,26676,0.3
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,second projection,2024-10-01,2025-02-28,2,44461,0.5
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,second projection,2024-10-01,2025-02-28,3,17784,0.2
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,second projection,2024-10-01,2025-02-28,4,0,0
Apr 2024,SDN,47208125,South Kordofan,At tadamon - sk,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Delami,current,2024-04-01,2024-05-31,all,45327,1.0
Apr 2024,SDN,47208125,South Kordofan,Delami,current,2024-04-01,2024-05-31,3+,22663,0.5
Apr 2024,SDN,47208125,South Kordofan,Delami,current,2024-04-01,2024-05-31,1,4533,0.1
Apr 2024,SDN,47208125,South Kordofan,Delami,current,2024-04-01,2024-05-31,2,18131,0.4
Apr 2024,SDN,47208125,South Kordofan,Delami,current,2024-04-01,2024-05-31,3,13598,0.3
Apr 2024,SDN,47208125,South Kordofan,Delami,current,2024-04-01,2024-05-31,4,9065,0.2
Apr 2024,SDN,47208125,South Kordofan,Delami,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,South Kordofan,Delami,first projection,2024-06-01,2024-09-30,all,45327,1.0
Apr 2024,SDN,47208125,South Kordofan,Delami,first projection,2024-06-01,2024-09-30,3+,27195,0.6
Apr 2024,SDN,47208125,South Kordofan,Delami,first projection,2024-06-01,2024-09-30,1,4533,0.1
Apr 2024,SDN,47208125,South Kordofan,Delami,first projection,2024-06-01,2024-09-30,2,13598,0.3
