Country,population,phase3plus_abs,phase3plus_per,date,Analysis Period,end_date,country_code
Lesotho,2104715.0,228503.0,0.15,2022-06-01,Jul 2022 - Sep 2022,2022-09-01,LSO
Lesotho,2100000.0,328424.0,0.22,2021-11-01,Nov 2021 - Dec 2021,2021-12-01,LSO
Lesotho,2100000.0,178694.0,0.12,2021-06-01,Jul 2021 - Sep 2021,2021-09-01,LSO
Lesotho,2008801.0,374195.0,0.26,2020-07-01,Jul 2020 - Sep 2020,2020-09-01,LSO
Lesotho,2293000.0,348406.0,0.24,2019-06-01,May 2019 - Sep 2019,2019-09-01,LSO
Lesotho,2272021.0,,,2018-11-01,,,LSO
Lesotho,2272021.0,161136.0,0.11,2018-06-01,Jun 2018 - Sep 2018,2018-09-01,LSO
Lesotho,1951688.0,179042.0,0.13,2017-07-01,Jul 2017 - Sep 2017,2017-09-01,LSO
Madagascar,29042000.0,2225076.0,0.36,2022-11-01,Nov 2022 - Mar 2023,2023-03-01,MDG
Madagascar,29611714.0,190862.0,0.26,2022-07-01,Aug 2022 - Oct 2022,2022-10-01,MDG
Madagascar,29000000.0,1684129.0,0.32,2022-04-01,Apr 2022 - Aug 2022,2022-08-01,MDG
Madagascar,27891778.0,1642643.0,0.37,2021-11-01,Nov 2021 - Dec 2021,2021-12-01,MDG
Madagascar,25680342.0,1137633.0,0.43,2021-04-01,Apr 2021 - Sep 2021,2021-09-01,MDG
Madagascar,25680342.0,1062712.0,0.27,2020-11-01,Oct 2020 - Dec 2020,2020-12-01,MDG
Madagascar,27691000.0,,,2020-03-01,,,MDG
Madagascar,26969000.0,500075.0,0.14,2019-10-01,Jul 2019 - Oct 2019,2019-10-01,MDG
Madagascar,26969000.0,730527.0,0.21,2019-06-01,Jun 2019 - Jul 2019,2019-07-01,MDG
Madagascar,26262000.0,1058711.0,0.23,2018-10-01,Aug 2018 - Oct 2018,2018-10-01,MDG
Madagascar,26262000.0,1058589.0,0.31,2018-05-01,Mar 2018 - Jun 2018,2018-06-01,MDG
Madagascar,24301024.0,1289171.0,0.43,2017-10-01,Aug 2017 - Oct 2017,2017-10-01,MDG
Madagascar,24301024.0,1067548.0,0.36,2017-06-01,Mar 2017 - May 2017,2017-05-01,MDG
Malawi,19348953.0,2632740.0,0.14,2022-06-01,Jun 2022 - Sep 2022,2022-09-01,MWI
Malawi,18827607.0,1396742.0,0.07,2021-11-01,Nov 2021 - Dec 2021,2021-12-01,MWI
Malawi,18898441.0,1064674.0,0.06,2021-08-01,Jul 2021 - Sep 2021,2021-09-01,MWI
Malawi,19718415.0,2549703.0,0.14,2020-12-01,Nov 2020 - Dec 2020,2020-12-01,MWI
Malawi,19130000.0,1696881.0,0.1,2020-08-01,Jul 2020 - Sep 2020,2020-09-01,MWI
Malawi,18771580.0,,,2019-11-01,,,MWI
Malawi,18771580.0,673167.0,0.05,2019-06-01,Jul 2019 - Sep 2019,2019-09-01,MWI
Malawi,18771580.0,2203362.0,0.15,2018-08-01,Jul 2018 - Sep 2018,2018-09-01,MWI
Malawi,18771580.0,421000.0,0.03,2017-07-01,Jul 2017 - Sep 2017,2017-09-01,MWI
Mozambique,30832244.0,1857640.0,0.13,2021-11-01,Nov 2021 - Mar 2022,2022-03-01,MOZ
Mozambique,30832244.0,188964.0,0.36,2021-04-01,Oct 2020 - Mar 2021,2021-03-01,MOZ
Mozambique,30066648.0,2674922.0,0.15,2020-10-01,Oct 2020 - Dec 2020,2020-12-01,MOZ
Mozambique,30066648.0,364389.0,0.15,2020-06-01,Jun 2020 - Sep 2020,2020-09-01,MOZ
Mozambique,30066648.0,283175.0,0.26,2020-05-01,Oct 2019 - Mar 2020,2020-03-01,MOZ
Mozambique,27909798.0,1358046.0,0.27,2019-06-01,Apr 2019 - Sep 2019,2019-09-01,MOZ
Mozambique,30528673.0,1780512.0,0.07,2018-10-01,Sep 2018 - Dec 2018,2018-12-01,MOZ
Mozambique,30528673.0,891052.0,0.17,2018-05-01,Apr 2018 - Sep 2018,2018-09-01,MOZ
Mozambique,26423623.0,51909.0,0.0,2017-07-01,Jun 2017 - Sep 2017,2017-09-01,MOZ
Mozambique,26423623.0,858473.0,0.31,2017-05-01,Mar 2017 - Apr 2017,2017-04-01,MOZ
Namibia,2596037.0,367058.0,0.14,2022-09-01,Sep 2022 - Dec 2022,2022-12-01,NAM
Namibia,2550226.0,658588.0,0.26,2021-10-01,Oct 2021 - Nov 2021,2021-11-01,NAM
Namibia,2541000.0,427905.0,0.18,2020-07-01,Jul 2020 - Sep 2020,2020-09-01,NAM
Namibia,2495000.0,429274.0,0.18,2019-10-01,Oct 2019 - Mar 2020,2020-03-01,NAM
Pakistan,215250000.0,5960858.0,0.3,2022-09-01,Jul 2022 - Aug 2022,2022-08-01,PAK
Pakistan,215250000.0,4658928.0,0.25,2021-10-01,Oct 2021 - Mar 2022,2022-03-01,PAK
Pakistan,220900000.0,3821318.0,0.26,2021-03-01,Mar 2021 - Jun 2021,2021-06-01,PAK
Pakistan,220892000.0,1175287.0,0.23,2020-01-01,Nov 2019 - May 2020,2020-05-01,PAK
Pakistan,216565000.0,3067706.0,0.51,2019-04-01,Oct 2018 - Jul 2019,2019-07-01,PAK
Pakistan,197525005.0,2726822.0,0.5,2017-05-01,Feb 2017 - Aug 2017,2017-08-01,PAK
Somalia,16955258.0,5594290.0,0.33,2022-11-01,Oct 2022 - Dec 2022,2022-12-01,SOM
Somalia,16384726.0,4272750.0,0.26,2022-08-01,Jul 2022 - Sep 2022,2022-09-01,SOM
Somalia,15737178.0,5241620.0,0.33,2022-05-01,May 2022 - May 2022,2022-05-01,SOM
Somalia,15737178.0,,,2022-03-01,,,SOM
Somalia,15737178.0,2436700.0,0.16,2022-01-01,Jan 2022 - Jan 2022,2022-01-01,SOM
Somalia,15737176.0,2210620.0,0.14,2021-08-01,Jul 2021 - Sep 2021,2021-09-01,SOM
Somalia,12327530.0,1600800.0,0.13,2021-01-01,Jan 2021 - Mar 2021,2021-03-01,SOM
Somalia,12327530.0,1281000.0,0.1,2020-09-01,Jul 2020 - Sep 2020,2020-09-01,SOM
Somalia,12327530.0,1147000.0,0.1,2020-01-01,Jan 2020 - Mar 2020,2020-03-01,SOM
Somalia,12327530.0,1197000.0,0.1,2019-08-01,Jul 2019 - Sep 2019,2019-09-01,SOM
Somalia,12327530.0,1137000.0,0.09,2019-01-01,Jan 2019 - Jan 2019,2019-01-01,SOM
Somalia,12327530.0,1769000.0,0.14,2018-07-01,Jul 2018 - Jul 2018,2018-07-01,SOM
Somalia,12327530.0,1646000.0,0.13,2018-01-01,Jan 2018 - Jan 2018,2018-01-01,SOM
Somalia,12327530.0,3310000.0,0.27,2017-07-01,Jul 2017 - Jul 2017,2017-07-01,SOM
Somalia,12327530.0,1644000.0,0.14,2017-01-01,Jan 2017 - Jan 2017,2017-01-01,SOM
South Africa,59622350.0,9335159.0,0.16,2020-10-01,Sep 2020 - Dec 2020,2020-12-01,ZAF
South Sudan,12400000.0,6635000.0,0.54,2022-10-01,Oct 2022 - Nov 2022,2022-11-01,SSD
South Sudan,12400000.0,6831000.0,0.55,2022-03-01,Feb 2022 - Mar 2022,2022-03-01,SSD
South Sudan,12060000.0,6301000.0,0.53,2020-10-01,Oct 2020 - Nov 2020,2020-11-01,SSD
South Sudan,11703111.0,5290000.0,0.44,2020-01-01,Jan 2020 - Jan 2020,2020-01-01,SSD
South Sudan,11703111.0,6350000.0,0.55,2019-08-01,Aug 2019 - Aug 2019,2019-08-01,SSD
South Sudan,11385139.0,,,2019-05-01,,,SSD
South Sudan,11385139.0,6170000.0,0.54,2019-01-01,Jan 2019 - Jan 2019,2019-01-01,SSD
South Sudan,10971513.0,6062000.0,0.58,2018-09-01,Sep 2018 - Sep 2018,2018-09-01,SSD
South Sudan,11145932.0,5350000.0,0.48,2018-01-01,Jan 2018 - Jan 2018,2018-01-01,SSD
South Sudan,10969993.0,6040000.0,0.56,2017-09-01,Sep 2017 - Sep 2017,2017-09-01,SSD
South Sudan,12311845.0,5530000.0,0.45,2017-05-01,May 2017 - May 2017,2017-05-01,SSD
South Sudan,11845855.0,3825000.0,0.33,2017-01-01,Jan 2017 - Jan 2017,2017-01-01,SSD
Sudan,47881435.0,9648034.0,0.2,2022-05-01,Apr 2022 - May 2022,2022-05-01,SDN
Sudan,46796616.0,7298273.0,0.16,2021-03-01,Apr 2021 - May 2021,2021-05-01,SDN
Sudan,45319635.0,,,2020-10-01,,,SDN
Sudan,45319635.0,9578685.0,0.21,2020-06-01,Jun 2020 - Sep 2020,2020-09-01,SDN
