id,operation,admin0Name,admin0Pcode,admin1Name,admin1Pcode,admin2Name,admin2Pcode,numPresentIdpInd,reportingDate,yearReportingDate,monthReportingDate,roundNumber,assessmentType,admin2,fatalities,event_id_cnty
519604,Armed Clashes in Sudan (Overview),Sudan,SDN,Red Sea,SD10,Sawakin,SD10068,8915,2024-12-17T00:00:00,2024,12,18,BA,Sawakin,0,8
519609,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Halfa Aj Jadeedah,SD11052,113251,2024-12-17T00:00:00,2024,12,18,BA,Halfa Aj Jadeedah,0,4
519610,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Madeinat Kassala,SD11053,177855,2024-12-17T00:00:00,2024,12,18,BA,Madeinat Kassala,1,62
519611,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Gharb Kassala,SD11054,2985,2024-12-17T00:00:00,2024,12,18,BA,Reifi Gharb Kassala,2,2
519612,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Aroma,SD11055,5370,2024-12-17T00:00:00,2024,12,18,BA,Reifi Aroma,0,2
519614,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Shamal Ad Delta,SD11057,5745,2024-12-17T00:00:00,2024,12,18,BA,Reifi Shamal Ad Delta,0,1
519616,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Telkok,SD11059,3535,2024-12-17T00:00:00,2024,12,18,BA,Reifi Telkok,0,1
519617,Armed Clashes in Sudan (Overview),Sudan,SDN,Kassala,SD11,Reifi Khashm Elgirba,SD11060,13274,2024-12-17T00:00:00,2024,12,18,BA,Reifi Khashm Elgirba,0,4
519621,Armed Clashes in Sudan (Overview),Sudan,SDN,Gedaref,SD12,Al Fao,SD12074,59944,2024-12-17T00:00:00,2024,12,18,BA,Al Fao,34,25
519622,Armed Clashes in Sudan (Overview),Sudan,SDN,Gedaref,SD12,Al Fashaga,SD12075,48638,2024-12-17T00:00:00,2024,12,18,BA,Al Fashaga,0,9
519624,Armed Clashes in Sudan (Overview),Sudan,SDN,Gedaref,SD12,Basundah,SD12077,51406,2024-12-17T00:00:00,2024,12,18,BA,Basundah,2,16
519625,Armed Clashes in Sudan (Overview),Sudan,SDN,Gedaref,SD12,Al Galabat Al Gharbyah-Kassab,SD12078,48628,2024-12-17T00:00:00,2024,12,18,BA,Al Galabat Al Gharbyah-Kassab,2,2
519626,Armed Clashes in Sudan (Overview),Sudan,SDN,Gedaref,SD12,Galaa Al Nahal,SD12079,65674,2024-12-17T00:00:00,2024,12,18,BA,Galaa Al Nahal,1,3
519627,Armed Clashes in Sudan (Overview),Sudan,SDN,Gedaref,SD12,Madeinat Al Gedaref,SD12080,349757,2024-12-17T00:00:00,2024,12,18,BA,Madeinat Al Gedaref,6,58
519628,Armed Clashes in Sudan (Overview),Sudan,SDN,Gedaref,SD12,Wasat Al Gedaref,SD12081,38999,2024-12-17T00:00:00,2024,12,18,BA,Wasat Al Gedaref,1,5
519629,Armed Clashes in Sudan (Overview),Sudan,SDN,Gedaref,SD12,Al Mafaza,SD12082,93925,2024-12-17T00:00:00,2024,12,18,BA,Al Mafaza,0,6
519630,Armed Clashes in Sudan (Overview),Sudan,SDN,Gedaref,SD12,Galabat Ash-Shargiah,SD12083,99399,2024-12-17T00:00:00,2024,12,18,BA,Galabat Ash-Shargiah,0,1
519631,Armed Clashes in Sudan (Overview),Sudan,SDN,Gedaref,SD12,Ar Rahad,SD12084,154395,2024-12-17T00:00:00,2024,12,18,BA,Ar Rahad,128,53
519639,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Ar Rahad,SD13030,41912,2024-12-17T00:00:00,2024,12,18,BA,Ar Rahad,128,53
519632,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Um Rawaba,SD13023,43094,2024-12-17T00:00:00,2024,12,18,BA,Um Rawaba,275,95
519633,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Sheikan,SD13024,48653,2024-12-17T00:00:00,2024,12,18,BA,Sheikan,822,219
519634,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Soudari,SD13025,3968,2024-12-17T00:00:00,2024,12,18,BA,Soudari,72,26
519635,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Bara,SD13026,34269,2024-12-17T00:00:00,2024,12,18,BA,Bara,60,31
519636,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Gebrat Al Sheikh,SD13027,7328,2024-12-17T00:00:00,2024,12,18,BA,Gebrat Al Sheikh,49,12
519637,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Um Dam Haj Ahmed,SD13028,15241,2024-12-17T00:00:00,2024,12,18,BA,Um Dam Haj Ahmed,47,13
519638,Armed Clashes in Sudan (Overview),Sudan,SDN,North Kordofan,SD13,Gharb Bara,SD13029,8495,2024-12-17T00:00:00,2024,12,18,BA,Gharb Bara,3,1
519640,Armed Clashes in Sudan (Overview),Sudan,SDN,Sennar,SD14,Abu Hujar,SD14037,2954,2024-12-17T00:00:00,2024,12,18,BA,Abu Hujar,28,24
519641,Armed Clashes in Sudan (Overview),Sudan,SDN,Sennar,SD14,Sennar,SD14038,36703,2024-12-17T00:00:00,2024,12,18,BA,Sennar,406,152
