admin2,fatalities,event_id_cnty,admin2_IPC,admin2Name_IPC,Date of analysis,Country,Total country population,Level 1,Area,Validity period,From,To,Phase,Number,Percentage
Sinja,2,7,Sinja,,Apr 2024,SDN,47208125,Sennar,Sinja,current,2024-04-01,2024-05-31,3+,147167,0.45
Sirba,272,28,Sirba,,Apr 2024,SDN,47208125,West Darfur,Sirba,current,2024-04-01,2024-05-31,3+,91961,0.65
Soudari,21,16,Soudari,,Apr 2024,SDN,47208125,North Kordofan,Soudari,current,2024-04-01,2024-05-31,3+,192976,0.35
Sunta,51,1,As sunta,,Apr 2024,SDN,47208125,South Darfur,As sunta,current,2024-04-01,2024-05-31,3+,526939,0.55
Talawdi,4,2,Talawdi,,Apr 2024,SDN,47208125,South Kordofan,Talawdi,current,2024-04-01,2024-05-31,3+,38972,0.4
Tawila,51,22,Tawila,,Apr 2024,SDN,47208125,North Darfur,Tawila,current,2024-04-01,2024-05-31,3+,154935,0.6
Tendalti,0,4,Tendalti,,Apr 2024,SDN,47208125,White Nile,Tendalti,current,2024-04-01,2024-05-31,3+,87112,0.35
Um Algura,46,40,Algura,,Apr 2024,SDN,47208125,Aj Jazirah,Algura,current,2024-04-01,2024-05-31,3+,2005856,0.55
Um Bada,617,220,Um Bada,,Apr 2024,SDN,47208125,Khartoum,Um Bada,current,2024-04-01,2024-05-31,3+,1083799,0.6
Um Dafoug,0,3,Um Dafoug,,Apr 2024,SDN,47208125,South Darfur,Um Dafoug,current,2024-04-01,2024-05-31,3+,308970,0.45
Um Dam Haj Ahmed,39,9,Um Dam Haj Ahmed,,Apr 2024,SDN,47208125,North Kordofan,Um Dam Haj Ahmed,current,2024-04-01,2024-05-31,3+,261498,0.45
Um Dukhun,1,5,Um Dukhun,,Apr 2024,SDN,47208125,Central Darfur,Um Dukhun,current,2024-04-01,2024-05-31,3+,169248,0.6
Um Durein,5,3,Um durein,,Apr 2024,SDN,47208125,South Kordofan,Um durein,current,2024-04-01,2024-05-31,3+,65044,0.5
Um Kadadah,38,23,Um kadadah,,Apr 2024,SDN,47208125,North Darfur,Um kadadah,current,2024-04-01,2024-05-31,3+,261912,0.55
Um Rawaba,173,65,Um Rawaba,,Apr 2024,SDN,47208125,North Kordofan,Um Rawaba,current,2024-04-01,2024-05-31,3+,236766,0.4
Um Rimta,9,6,Um Rimta,,Apr 2024,SDN,47208125,White Nile,Um Rimta,current,2024-04-01,2024-05-31,3+,231568,0.3
Wad Bandah,16,2,Wad Bandah,,Apr 2024,SDN,47208125,West Kordofan,Wad Bandah,current,2024-04-01,2024-05-31,3+,174900,0.4
Wadi Salih,4,8,Wadi Salih,,Apr 2024,SDN,47208125,Central Darfur,Wadi Salih,current,2024-04-01,2024-05-31,3+,369837,0.65
Wasat Al Gedaref,1,3,Wasat al gedaref,,Apr 2024,SDN,47208125,Gedaref,Wasat al gedaref,current,2024-04-01,2024-05-31,3+,75026,0.3
Yassin,18,5,Yassin,,Apr 2024,SDN,47208125,East Darfur,Yassin,current,2024-04-01,2024-05-31,3+,53018,0.35
Zalingi,379,153,Zalingi,,Apr 2024,SDN,47208125,Central Darfur,Zalingi,current,2024-04-01,2024-05-31,3+,369837,0.65
